okay my soul there I guess sookay okaybut again what are you just sendwhat is this all disappearedhey I'm Grump I'm joining nothing I guess I'll keep you onyeah I can still hear you but I'm going to meet you or just meI'm watching the workshop right nowwhat's on the Discordyeah I just don't know what the pink kind of look like you kind of made it like different like I just really like the last gender-neutral why can't you just make the picture the pink one smallerKnaus Berryphoto I see what you say nowthe one that ties onyeahwe are goodwhat do you mean a slideshow just keep it simple man reviews whatever you need only look at what you making I'm doing your extreme make it smaller make it smaller literally reduce theno increasingnono that's the thing double click on it and then no no adjusted to move it up and out orI don't know man yeah yeah either can you hear me can you hear meI know it doesn't but jpeg is probably betteryo what do you need by Fitz intro.wait till everybody to follow I'm not on your street go byyou didn't move the files around right cuz you can't do thatwhich foundingyeah that's why you rename which welder which welderscreen share that I don't know I think you should read it back to what it wasbut does she going to talk I think because the other one would know either way and make them evenzoom zoomoh yeah go back then I guessmake the top once more releasedno just no thickor this yeardouble click it again bring a little lowerthis outside outside and make it smalleryou can fit perfectly actually if you justand then againyes fine now let me see why is it like something's messed updo you want to odori suspect alright soBrunoor in the middle do you want to put a littlewe could do thatlike that actually look pretty neat right or liking for the house of your Halo small quote just thinking about it or no no the followingjust like put blind and deaf Technologies rightinspectors are just like accessibility accessibility Technologiesbut it's not just ice right it's like experience the worldnew censusexperience the world when you sent to stop you up lateryeahtalk to you don't talk to me until I talk to youcurrent date timecurrent current2020-03-28 01:19:40.708939	it's good that you be quiet
2020-03-28 01:28:39.575805	are you sure you want to make that middle line green try try with another color what do you want to make the middle I mean why actually looks pretty good I don't know I just think about it
2020-03-28 01:29:49.693309	yeah you know what I'm talking about right
2020-03-28 01:29:58.102264	don't make it a lot easier for you
2020-03-28 01:30:20.415310	I know anything let me see
2020-03-28 01:30:26.498092	play all the top and bottom dentures
2020-03-28 01:30:34.295159	Teen Spirit
2020-03-28 01:30:40.316928	or even the right side border dish up or did
2020-03-28 01:30:50.733840	I think it's a square I think it's just 1108 1108 and lowercase
2020-03-28 01:31:09.243769	yeah I think that's what it is to get rid of this middle bar everything else stays the same
2020-03-28 01:31:43.040414	yeah
2020-03-28 01:31:49.410760	commitment I don't know
2020-03-28 01:31:56.875300	which they know right cuz I don't think I'll just look at what you how you want to do in them
2020-03-28 01:32:54.468783	entirety what we've been talkin no I just kept something running like the audio to text
2020-03-28 01:33:25.002612	afraid so
2020-03-28 01:36:33.928491	before the Border do you need the middle on this one I think in this situation we could just make them blend
2020-03-28 01:37:05.970331	add a rectangle and make it a little bit no no no. You do but you know how you were out in the bar in the middle in the middle
2020-03-28 01:37:17.982182	Barbie make it transparent a little bit 50% transparent yeah
2020-03-28 01:37:28.502676	how it is odd that bar on top of it and then make it a little bit transparent I'd like a small bar just as like a transition thing
2020-03-28 01:39:03.942596	Major League
2020-03-28 01:39:07.738178	an experiment maybe like a bluish would wear a bluish pink what's in the middle of purple right let's make it purple like a light purple
2020-03-28 01:39:23.254220	no we need a little bit like more towards the blue side
2020-03-28 01:39:43.194849	this is perfect but go Lighter Side lighter lighter
2020-03-28 01:39:49.983909	I think I should work around here
2020-03-28 01:40:10.641562	I'm not even sure if it's making a difference or not but to me it seems fine
2020-03-28 01:40:20.244758	try making zero
2020-03-28 01:40:26.846379	Meijer
2020-03-28 01:40:35.639601	dude perfect just leave it at like 30 or 40
2020-03-28 01:40:43.621133	8:30
2020-03-28 01:40:47.654455	honestly don't spend too much time on this is life
2020-03-28 01:41:10.101459	so now it's going fine over the borders not coming out right or you want beside the border the frame hold on let me see let me see let me see
2020-03-28 01:42:30.523721	are you listening going to frames and find a thicker frame sticker no because I think
2020-03-28 01:43:49.840493	Call of Duty II
2020-03-28 01:44:24.768632	know the top and bottom are definitely showing right it's just a sides yet as bring the frames in a little bit.
2020-03-28 01:44:38.022003	no don't do that much do very minimally or you can't know you wanted to walk in that way it's even on each side
2020-03-28 01:46:00.093645	go back
2020-03-28 01:46:02.968339	that is really really weird
2020-03-28 01:46:15.236343	it should be slightly taller than it is wider dude if you found the dimensions of that picture could be crazy easy
2020-03-28 01:46:31.310011	you have time at the end fix it but I think just go to sleep
2020-03-28 01:48:50.959449	give me one second
2020-03-28 01:49:00.825998	show me
2020-03-28 01:49:16.805368	what's me
2020-03-28 01:49:26.027397	yeah
2020-03-28 01:49:39.305834	or again why are you even doing this remove the frame
2020-03-28 01:49:50.091211	and drag over both images
2020-03-28 01:49:58.948341	no go outside drag click and drag you drag over both of them what are you doing go outside click click and hold click and hold and quick right there and hold
2020-03-28 01:50:22.152006	images I need you to make them both you keep making it smaller
2020-03-28 01:50:40.017942	now put in the middle
2020-03-28 01:50:47.540294	Brooklyn put in the middle Aiden snapping
2020-03-28 01:51:01.147351	there you go nobody gets smaller if we want this to her know cuz we want to make the flame bigger right so we want to make this a good look better if the frame of the really really thick but let's see how it looks
2020-03-28 01:52:19.124585	we need to just make it less and we can usually do this no no but I care just make it make it less go back to Canada so it make sure they're both selected can you
2020-03-28 01:52:44.964946	it's not letting you
2020-03-28 01:52:49.208356	I think you have to do them individually
2020-03-28 01:52:57.220894	but you can pick the place
2020-03-28 01:53:03.497274	select this click on the side
2020-03-28 01:53:12.978089	quick on the side
2020-03-28 01:53:16.264291	exiting them now click on the pink image and I'll make it a lesson with
2020-03-28 01:53:29.230148	Riverside
2020-03-28 01:53:32.434332	okay and I'll do the same thing with the bottom
2020-03-28 01:53:38.899778	God knows what can struggle for both of them and make it
2020-03-28 01:53:54.600195	now put the movie
2020-03-28 01:54:04.419748	I think we need to do more but you just do tomorrow to see you tomorrow you will have plenty of time to do all right
2020-03-28 01:55:26.721916	Nesco down oh my God that's perfect
2020-03-28 01:55:56.868603	find the poem
2020-03-28 01:56:10.037103	how many people are visually impaired
2020-03-28 01:56:18.233951	real
2020-03-28 01:56:22.892498	I know but how much is 5% out of the world population that's a big number exactly that's half the population of the United States
2020-03-28 01:56:48.950054	okay I'm going to go to sleep
2020-03-28 01:57:06.934391	yeah it's going to be hard to follow but hopefully we'll get it
2020-03-28 01:57:17.631884	yeah
